Timestamp	App	Log Level	Message
00:00:01.109	25567	ERROR		GameBenchD - Starting query thread - 25587 
00:00:01.139	25567	ERROR		GameBenchD - --------- beginning of system
00:00:01.139	2151	INFO		BinderCallsStatsService - Resetting stats
00:00:01.139	2151	ERROR		BatteryExternalStatsWorker - no controller energy info supplied for bluetooth
00:00:01.139	2151	VERBOSE		LocSvc_HIDL_Subscription_jni - battery_level_update
00:00:01.139	2151	VERBOSE		LocSvc_HIDL_Subscription_jni - [battery_level_update][931] [HC] =>> [HS]
00:00:01.139	1185	VERBOSE		LocSvc_HIDL_IzatSubscription - [batteryLevelUpdate][777] [HS] <<<<= [HC]
00:00:01.139	2151	VERBOSE		LocSvc_HIDL_Subscription_jni - Exit Result 0
00:00:01.166	25567	INFO		GameBenchD - Accepted a client connection for SS
00:00:01.195	25567	INFO		GameBenchD - Received command for daemon
00:00:01.196	25567	INFO		GameBenchD - Launch ScreenCap received
00:00:01.196	25567	INFO		GameBenchD - Accepted a client connection for SS
00:00:01.196	24762	INFO		GameBench3 - File /sys/kernel/gpu/gpu_busy exists but no read permission
00:00:01.196	25567	WARN		FileIOThread - type=1400 audit(0.0:37702): avc: denied { read } for uid=2000 name="gpu_busy_percentage" dev="sysfs" ino=28966 scontext=u:r:shell:s0 tcontext=u:object_r:sysfs_kgsl:s0 tclass=file permissive=0
00:00:01.196	24762	DEBUG		GameBench - Send start for FPS Alt
00:00:01.196	25567	INFO		GameBenchD - Received command for daemon
00:00:01.196	25567	INFO		GameBenchD - Launch FPS Alternate received
00:00:01.226	25567	DEBUG		vndksupport - Loading /vendor/lib/hw/android.hardware.graphics.mapper@2.0-impl.so from current namespace instead of sphal namespace.
00:00:01.226	24762	INFO		GameBenchDebug - Finding Pid for Mem
00:00:01.226	25567	DEBUG		vndksupport - Loading /vendor/lib/hw/gralloc.sdm660.so from current namespace instead of sphal namespace.
00:00:01.226	2151	WARN		ProcessCpuTracker - Skipping unknown process pid 25596
00:00:01.226	24762	INFO		MetricsTowrite - 6
00:00:01.226	25473	INFO		egram.messenge - Waiting for a blocking GC ProfileSaver
00:00:01.251	24762	WARN		System - A resource failed to call close. 
00:00:01.251	24762	DEBUG		TEST - Writing janks
00:00:01.277	25473	INFO		egram.messenge - WaitForGcToComplete blocked ProfileSaver on AddRemoveAppImageSpace for 34.847ms
00:00:01.385	24762	INFO		GameBenchDebug - Pid Val for packageName -  com.reactnativecompareapp is -0
00:00:01.386	24762	INFO		GameBenchDebug - Found Pid Mem Thread - false
00:00:01.872	1187	ERROR		ANDR-PERF-MPCTL - Invalid profile no. 0, total profiles 0 only
00:00:01.959	2151	INFO		ActivityManager - START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.reactnativecompareapp/.MainActivity bnds=[640,1155][839,1508]} from uid 10053
00:00:02.042	2151	INFO		ActivityManager - Start proc 25623:com.reactnativecompareapp/u0a484 for activity com.reactnativecompareapp/.MainActivity
00:00:02.042	25623	ERROR		ativecompareap - Not starting debugger since process cannot load the jdwp agent.
00:00:02.126	25623	DEBUG		SoLoader - init start
00:00:02.126	25623	DEBUG		SoLoader - adding system library source: /vendor/lib
00:00:02.126	25623	DEBUG		SoLoader - adding system library source: /system/lib
00:00:02.126	25623	DEBUG		SoLoader - adding application source: com.facebook.soloader.DirectorySoSource[root = /data/app/com.reactnativecompareapp-OcNXDsNnnTbO74hM1sSwuw==/lib/arm64 flags = 0]
00:00:02.126	25623	DEBUG		SoLoader - adding backup source from : com.facebook.soloader.ApkSoSource[root = /data/data/com.reactnativecompareapp/lib-main flags = 1]
00:00:02.126	25623	DEBUG		SoLoader - Preparing SO source: com.facebook.soloader.DirectorySoSource[root = /system/lib flags = 2]
00:00:02.126	25623	DEBUG		SoLoader - Preparing SO source: com.facebook.soloader.DirectorySoSource[root = /vendor/lib flags = 2]
